Tahun;Provinsi;IHK Umum (Indeks Harga Konsumen Umum);Inflasi YoY Umum (%);Inflasi Makanan YoY (%);Harga Beras (Rp/Kg) (Harga Ritel);Harga Beras (Rp/Kg) (Harga Petani);Harga Cabai (Rp/Kg) (Harga Ritel);Harga Cabai (Rp/Kg) (Harga Petani);Harga Bawang (Rp/Kg) (Harga Ritel);Harga Bawang (Rp/Kg) (Harga Petani);Produksi Padi (Ton);Luas Panen Padi (Ha);Produksi Cabai (Ton);Luas Panen cabai (Ha);Produksi Bawang (Ton);Luas Panen Bawang (Ha);Suhu (Celcius);Total Curah Hujan (mm);Rata-Rata Hari Hujan;PDRB Pertanian Miliar (Rp);PDRB Pengolahan Makanan Miliar (Rp);PDRB Perdagangan Miliar (Rp);Akses Internet Penduduk (%);Panjang Jalan Km;Jumlah Koperasi Pertanian
2015;Sumatera Selatan;124.4;3.35;4.8;9200;7350;25000;18750;18000;14400;2719520;928252;35600;4560;128;18;32.5;2400;180;18.5;22.8;38.5;38;28500;2200
2015;Lampung;105.8;3.1;4.5;10400;7400;42000;33800;30500;23800;2500000;495000;6150;1678;1432;435;27;2765;119;71.5;31.5;44.5;23.5;13780;495
2015;Kepulauan Bangka Belitung;131.54;3.4;4.1;13211;11229;52001;44201;15457;13138;59484;16077;1092;196;1231;132;26.4;2485;205;6.3;2.5;3.3;64.8;1310;798
2016;Aceh;134.71;3.5;4;10350;8280;36700;29360;29450;23560;1787540;400380;68500;9250;13258;1032;27.3;2147;194;4538;12.35;20.15;31.5;205;177
2016;Sumatera Utara;135.36;32;3.25;10200;7100;45000;22000;32000;32000;3823100;734800;226500;54800;110200;22600;27.7;2420;176;54.1;38.9;91.8;44.6;3242;222
2016;Sumatera Barat;137;3.2;4.8;9488;7590;31550;25240;16254;13003;1260000;282000;18000;2902;9600;1440;28;32;220;21.3 ;13.2 ;19.4 ;30;20500;118
2016;Riau;136.1;3.50;4.8;20282;10850;32451;20282;31060;18270;199200;50100;4520;1020;101;18;27.7;2511;255;14.58;7.76;9.33;50;3005;264
2016;Kepulauan Riau;95.2;3.42;3.8;20282;10850;32451;20282;27246;16027;1048;246;1640;104;1257;246;27.6;2255.1;11.2;21.5;43;21.86;42.1;3172;50
2016;Jambi;136.9;3.53;4.6;9000;7200;32000;25600;26000;20800;374000;73000;87000;14300;5000;1100;26.6;2450;194;357;30;10.8;38.9;11250;620
2016;Bengkulu;128.58;5.86;7.3;14277;10916;61501;43929;19460;15135;358900;81100;74870;16261;7365;1804;26.5;3174;192;12.26;27.03;51.13;53;3350;586
2016;Sumatera Selatan;127.8;3.2;2.9;9450;7550;27500;20600;19500;15600;3248770;964110;37200;4720;140;19;32.5;2350;175;19.2;23.9;39.6;46;28650;2300
2016;Lampung;108.2;2.3;3.7;10900;7800;45500;36800;32800;25500;2530000;498600;6480;1702;1458;455;27;2740;117;76.8;34.8;49.8;28.2;14050;518
2016;Kepulauan Bangka Belitung;135.49;3;2.8;17826;15152;38062;32353;24499;20824;61670;16229;919;208;792;136;26.4;2463;195;5.86;2.17;3.18;69.2;1325;823
2017;Aceh;138.75;3;3.6;10840;8670;35200;28160;31800;25440;1825473;404626;28600;9560;13625;1058;27.2;2147;194;4785;13.15;21.65;33.8;2084;186
2017;Sumatera Utara;140.25;3.61;3.85;10800;7500;48000;24000;35000;34000;3891500;748200;233400;56500;113900;23400;27.5;2390;174;55.7;40.8;96.2;49.2;3308;228
2017;Sumatera Barat;142;3.61;4.2;9831;7865;32689;26151;16841;13473;1270000;283000;18500;2969;9867;1480;28;32;220;22.1 ;14;20.4 ;35;21000;119
2017;Riau;141.3;3.80;5.2;21250;11250;31912;21730;32094;18878;198500;51200;4751;1060;107;19;27.7;2511;255;15.89;8.53;10.26;55;3078;275
2017;Kepulauan Riau;98.52;3.48;3.76;21250;11250;31912;19945;31060;18270;1093;252;1594;254;1156;252;27.7;2705.6;13.2;22.4;45.7;23.65;48.4;3229;51
2017;Jambi;142.1;3.81;5.3;9250;7400;35000;28000;28000;22400;390000;73500;91500;14600;5250;1125;26.7;2480;197;378;31.67;11.26;44.2;11550;640
2017;Bengkulu;134.56;4.65;5.58;16890;12914;70465;50332;18480;14373;315020;77290;78200;16735;8262;1849;26.5;3174;207;13.30;31.45;54.85;56;3375;615
2017;Sumatera Selatan;131.2;3.61;3.8;9700;7750;29000;21750;20800;16650;3164550;999972;38900;4890;152;21;32.5;2380;178;20.1;25.1;40.8;55;28800;2400
2017;Lampung;110.5;2.1;3.3;11500;8300;48700;39500;35200;27800;2550000;500200;6820;1728;1485;480;27.1;2754;120;82.5;38.5;55.5;33.5;14320;542
2017;Kepulauan Bangka Belitung;140.36;3.6;4.2;14590;12402;52331;44481;40598;34508;61731;15829;1676;200;1099;139;26.4;2364;190;6.41;2.13;4.8;73.6;1340;853
2018;Aceh;143.30;3.2;3.5;11380;9105;37500;30000;33750;27000;1863142;409270;46800;9850;1398;1083;27.1;2147;198;5042;14.08;23.28;35.2;2125;195
2018;Sumatera Utara;144.64;3.13;3.35;11400;7900;52000;26000;38000;37000;3945200;760300;240100;58100;117400;24100;27.6;2460;179;57.3;42.6;100.7;53.8;3374;234
2018;Sumatera Barat;147;3.13;4.5;10138;8110;33712;26970;17368;13894;1280000;284000;19000;3036;10133;1520;28;32;220;22.8 ;14.8 ;21.5 ;40;21500;119
2018;Riau;146;3.30;4.5;22630;11750;34767;21785;32153;18914;200000;52000;4980;1100;113;20;27.5;2511;255;17.31;9.38;11.29;60;3154;286
2018;Kepulauan Riau;102.1;3.54;3.52;22630;11750;37045;23154;32153;18914;1045;235;1539;237;1191;235;27.5;2235.7;12.6;23.3;48.5;25.59;55.7;3287;51
2018;Jambi;146.7;3.20;4.5;9400;7520;38000;30400;30000;24000;402000;74000;96000;14900;5500;1150;26.8;2460;192;401;33.33;11.73;49.5;11850;660
2018;Bengkulu;138.33;2.8;3.36;17855;13652;68636;49026;19327;15031;304175;79450;88040;16420;7513;1873;26.5;3174;176;14.46;31.45;54.33;59;3400;624
2018;Sumatera Selatan;134.9;3.13;3.9;10000;8000;30500;22900;22000;17600;3249740;1035830;40700;5060;165;23;32.5;2420;182;20.8;26.4;42.1;68;29000;2500
2018;Lampung;113.7;2.9;4.2;12000;8700;52300;42800;38500;30200;2580000;502500;7250;1752;1512;505;27.2;2775;122;88.2;42.2;61.8;39.8;14580;565
2018;Kepulauan Bangka Belitung;144.72;3.1;3.8;17681;15029;35594;30255;42568;36183;67116;16779;1825;224;1002;138;26.4;2383;206;7.6;4.27;3.58;77.9;1355;883
2019;Aceh;147.60;3;3.2;11850;9480;39800;31840;35400;28320;1895420;412480;84500;1012;1432;110;27.6;2147;200;5318;15.12;25.12;35.6;2168;204
2019;Sumatera Utara;148.57;2.72;2.95;12000;8300;55000;27500;40000;39000;4012800;773500;246900;59800;121200;24900;27.8;2380;173;58.9;44.3;104.8;58.4;344;24
2019;Sumatera Barat;151;2.72;3.8;10414;8331;34623;27698;17840;14272;1290000;285000;19500;3103;10400;1560;28;32;220;23.6 ;15.6 ;22.7 ;45;22000;120
2019;Riau;150.1;2.80;3.6;23840;12350;34857;21884;32572;19160;205000;53000;5210;1140;120;21;27.5;2511;255;18.85;10.32;12.42;65.2;3233;298
2019;Kepulauan Riau;105.63;3.55;3.64;23840;12350;35613;22258;35196;20703;1149;261;1567;263;1143;261;27.5;1957.8;10.8;24;50.9;27.35;64.1;3346;52
2019;Jambi;151.1;3.3;4.1;9500;7600;40000;32000;32000;25600;410000;74500;10050;15200;5750;1175;26.9;2470;196;425;35.00;12.2;54.8;12150;680
2019;Bengkulu;144.29;4.31;5.17;21161;16180;81173;57981;21851;16994;313630;82470;91620;16395;7309;1806;26.5;3174;169;14.25;32.47;57.79;62;3425;662
2019;Sumatera Selatan;137.8;2.72;2.1;10300;8250;32000;24000;23500;18800;1666690;1071688;42500;5240;180;25;32.5;2390;179;21.5;27.7;43.4;71;29200;2600
2019;Lampung;116.8;2.7;3.8;12500;9100;55800;46200;41200;32500;2610000;504800;7680;1784;1538;525;27.2;2760;121;94.5;46.5;68.5;45.5;14850;589
2019;Kepulauan Bangka Belitung;148.62;2.7;3.2;20752;17639;86073;73162;44388;37730;70030;17080;1114;229;1235;142;26.4;2445;185;8.6;3.57;4.87;82.1;1370;913
2020;Aceh;150.11;1.7;2.1;12250;9800;41500;33200;37950;30360;1865750;408750;45300;9870;1405;108;27.2;2185;203;5425;15.45;24.38;38.4;2205;210
2020;Sumatera Utara;151.7;1.68;1.85;12300;8500;58000;29000;42000;41000;4089300;786800;253200;61200;124800;25600;27.9;2510;183;59.8;43.1;98.6;62.9;3506;246
2020;Sumatera Barat;154;1.92;4.2;11500;9200;35000;28000;30000;24000;1280000;280000;20000;3170;10667;1600;28;32;220;23.3 ;15.3 ;22.2 ;50;23198;121
2020;Riau;153;2.2;4;24580;12850;35016;23154;34517;20703;203500;52500;5450;1180;127;22;27.6;2511;255;19.52;10.65;12.84;68.5;3278;307
2020;Kepulauan Riau;109.26;3.44;3.56;24580;12850;34767;21730;37488;22051;1148;256;1695;258;1217;256;27.6;2502.8;12.2;24.4;52.6;28.82;73.7;3406;53
2020;Jambi;153.2;1.39;2.6;9800;7840;42500;34000;34000;27200;398000;73800;98000;14800;5600;1150;27;2420;190;412;36.50;12.7;60.2;12450;695
2020;Bengkulu;148.34;2.81;3.37;17996;13760;89243;63745;29563;22992;283800;87760;91400;16243;7673;2095;26.5;3174;167;16.02;36.11;61.75;65;3450;694
2020;Sumatera Selatan;100.5;1.68;2.6;10600;8500;34500;25900;25000;20000;2605120;551320;44400;5430;350;42;32.7;2450;183;21.3;28.8;44.7;75;29450;2700
2020;Lampung;119.2;2.1;3;13000;9500;58500;48700;43800;34700;2640000;507200;8120;1812;1565;550;27.3;2735;118;100.80;50.8;75.8;52.2;15120;612
2020;Kepulauan Bangka Belitung;151;1.6;2.1;15878;13496;78923;67085;64792;55073;33803;17841;2203;245;1126;138;26.4;2496;188;7.39;3.31;4.36;85.4;1385;943
2021;Aceh;152.45;1.6;2;12580;10065;43700;34960;39600;31680;1905360;413340;87600;1018;1456;1121;27.3;221;205;5678;16.18;26.15;42.5;225;218
2021;Sumatera Utara;153.43;1.56;1.75;12800;8800;62000;31000;45000;44000;4156700;799200;259800;62800;128600;26400;27.7;2440;177;61.2;45.7;107.3;67.3;3572;252
2021;Sumatera Barat;157;1.56;2.8;12000;9600;38000;30400;32000;25600;1310000;286000;20500;3237;10933;1640;28;32;220;24.2 ;16.4 ;23.8 ;54;24189;122
2021;Riau;156.5;2.3;3.8;25340;13450;35613;23251;34582;20304;204800;52100;5680;1220;134;23;27.6;2511;255;21.28;11.71;14.12;72.3;3328;316
2021;Kepulauan Riau;113.7;3.49;3.4;25340;13450;34857;21785;32572;19160;1146;260;1803;262;1397;260;27.6;2541;13.8;24.5;54.0;30.17;84.7;3467;54
2021;Jambi;156.3;2.2;3.1;10200;8160;45000;36000;36000;28800;405000;74200;10200;15000;5800;1170;27.1;2390;187;428;38;13.2;65.4;12750;710
2021;Bengkulu;152.5;2.8;3.36;20259;15490;113671;81194;32407;25204;300145;93265;88640;16378;8648;2209;26.5;3174;168;15.32;34.99;61;68;3475;709
2021;Sumatera Selatan;102.8;1.87;1.9;10900;8750;36000;27000;26500;21200;2552440;496240;46300;5620;582;68;32.7;2480;185;21.8;30.2;46;79;29700;2800
2021;Lampung;121.5;1.9;2.8;13500;9900;62000;51500;45500;36200;2670000;510000;8550;1838;1592;575;27.3;2720;116;107.50;55.5;83.5;58.5;15380;635
2021;Kepulauan Bangka Belitung;153.42;1.6;2.3;14590;12402;24036;20431;41176;35000;41790;1827;1566;216;1222;156;26.4;2362;192;7.94;3.46;5.58;88.2;1400;973
2022;Aceh;158.87;4.2;5.1;13150;10520;45800;36640;43850;35080;1928450;415650;31820;1042;1495;1148;27.4;2235;208;5945;17.25;28.25;46.8;2295;227
2022;Sumatera Utara;159.89;4.21;4.50;13500;9300;68000;34000;50000;48000;4223900;811800;266700;64500;132500;27200;27.8;2400;175;63.1;48.2;114.2;71.8;3638;258
2022;Sumatera Barat;163;4.21;5.5;12500;10000;40000;32000;34000;27200;1340000;292000;21000;3304;11200;1680;28;32;220;25.2 ;17.6 ;25.1 ;58;25127;121
2022;Riau;162.8;4;4.6;26780;14100;37202;24486;35196;20304;205100;52000;5910;1260;142;24;27.7;2511;255;23.2;12.88;15.53;76.8;3383;326
2022;Kepulauan Riau;117.4;3.51;3.26;26780;14100;38092;23807;34582;20343;1089;241;1688;243;1328;241;27.7;1855.5;12.2;24.9;55.8;31.78;85;3530;55
2022;Jambi;161;3.1;5.7;10700;8560;48000;38400;38000;30400;412000;74600;107000;15250;16000;5200;27.2;2370;185;445;39.50;13.8;69.8;13050;725
2022;Bengkulu;158.39;3.86;4.63;21616;16527;106804;76289;35927;27942;288120;87770;70310;17655;8237;1918;26.5;3174;179;16.47;37.47;72.85;71;3500;697
2022;Sumatera Selatan;105.2;4.21;5.5;12500;10000;45000;33750;32000;25600;2632500;505000;48400;5820;875;95;32.8;2500;187;22.5;31.7;47.5;83;30000;2900
2022;Lampung;123.9;2;3.1;14000;10300;65500;54800;47800;38500;2700000;512500;9020;1865;1162;600;27.4;2705;115;114.80;60.8;92.2;65.2;15650;658
2022;Kepulauan Bangka Belitung;159.86;4.2;5.1;19701;16746;64825;55101;78003;66303;36411;15109;1758;247;1267;154;26.4;2470;201;8.58;4.75;5.26;90.5;1420;1003
2023;Aceh;164.71;3.7;4.5;13780;11025;47200;37760;47200;37760;1956280;418730;52700;1060;1532;117;27.5;226;210;6258;18.45;30.58;51.5;234;236
2023;Sumatera Utara;165.66;3.61;3.85;14200;9800;74000;37000;55000;52000;4291600;824600;273400;66100;136200;28000;28;2470;181;65;50.9;121.8;76.2;3704;264
2023;Sumatera Barat;169;3.67;4.5;13000;10400;42000;33600;36000;28800;1320000;290000;21500;3371;11467;1720;28;32;220;26.4 ;18.9 ;26.8 ;62;26000;121
2023;Riau;167.9;3.1;3.9;27920;14750;37045;24600;36574;20343;205970;51910;6140;1300;150;25;27.7;2511;255;25.3;14.17;17.08;82.1;3442;336
2023;Kepulauan Riau;121.35;3.68;3.72;27920;14750;39178;24486;36574;21514;1127;250;1702;252;1344;250;27.7;2037.6;11.9;25.6;58.6;33.98;85;3593;55
2023;Jambi;165.8;2.98;5.3;11200;8960;50000;40000;40000;32000;420000;75000;112000;15500;16250;9225;27.3;2350;182;464;41;14.4;74.2;13350;740
2023;Bengkulu;159.39;0.63;0.76;22396;17123;108349;77393;38041;29586;285470;84530;63770;16626;8136;1962;26.5;3174;185;19.29;42.96;78.89;74;3525;662
2023;Sumatera Selatan;106.8;3.38;3.1;14000;11200;48500;36400;35500;28400;2710650;515000;50500;6020;1125;120;32.8;2520;189;23.2;33.3;49;84;30300;3000
2023;Lampung;126.8;2.3;3.5;14600;10800;68700;57500;49500;40200;2730000;514800;9480;1892;1645;625;27.4;2690;114;122.50;66.5;101.5;72.5;15920;682
2023;Kepulauan Bangka Belitung;165.62;3.6;4.2;20121;17103;45348;38546;43327;36828;38820;15410;2008;285;1608;166;26.4;2364;199;8.81;4.86;5.33;91.8;1440;1033
2024;Aceh;169.65;3;3.8;14350;11480;48600;38880;50750;40600;1987530;421850;86500;1095;15684;1198;27.6;2285;213;6585;19.78;33.12;56.3;239;245
2024;Sumatera Utara;170.30;2.80;3.10;14800;10200;78000;39000;58000;55000;4358200;837200;280200;67800;140100;28800;28.1;2420;176;66.8;53.1;128.1;80.5;377;27
2024;Sumatera Barat;175;2.5;3.8;13520;10800;45000;36000;38330;30664;1356467;295000;22000;3438;11733;1760;28;32;220;27.6 ;20.3 ;28.2 ;65;26209;122
2024;Riau;173.1;3.1;4.2;29380;15480;38092;25100;37488;21514;208500;52500;6380;1340;158;26;27.6;2511;255;27.57;15.59;18.79;85.4;3508;347
2024;Kepulauan Riau;125.49;3.41;3.52;29380;15480;37202;23251;39186;23051;1118;246;1795;248;1372;246;27.6;2528.3;13.4;26.7;62.2;36.76;85;3658;56
2024;Jambi;170.8;3.2;4.8;11700;9360;52000;41600;42000;33600;428000;75400;117500;15750;16500;5250;27.4;2330;180;483;42.50;15;78.5;13650;755
2024;Bengkulu;160.84;0.91;1.9;23904;18276;108520;77515;29755;23142;274010;87550;60320;17089;7137;1891;26.5;3174;184;18.92;40.49;74.92;77;3550;664
2024;Sumatera Selatan;107.1;1.20;1.8;15200;12150;52000;39000;37000;29600;2795200;525000;52700;6230;1350;140;32.9;2530;190;24;35;50.5;85;30600;3100
2024;Lampung;130.2;2.7;4;15200;11200;72500;60800;51800;42500;2750000;516200;9950;1918;1672;650;27.5;2680;113;130.80;72.8;111.8;78.8;16250;705
2024;Kepulauan Bangka Belitung;169.76;2.5;3.1;27127;23058;104176;88550;73942;62851;45931;18203;1600;249;1656;161;26.4;2476;185;9.5;5.52;7.73;91.5;1460;1063
2025;Aceh;174.74;3;3.7;14850;11880;50000;40000;53250;42600;2015200;424250;142040;1122;16057;1222;27.7;231;215;6924;21.25;35.85;61.2;244;254
